id,dataset,method,metric,value
186_80_tips_250,Cherry,PF2_direct,nRF,0.1818181818181818
3887_90_tips_250,Cherry,PF2_direct,nRF,0.0344827586206896
2323_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
4167_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
2498_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
1463_100_tips_250,Cherry,PF2_direct,nRF,0.0721649484536082
4015_100_tips_250,Cherry,PF2_direct,nRF,0.1030927835051546
4040_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
4634_100_tips_250,Cherry,PF2_direct,nRF,0.1752577319587628
1931_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
1941_90_tips_250,Cherry,PF2_direct,nRF,0.1494252873563218
1189_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
2849_100_tips_250,Cherry,PF2_direct,nRF,0.1855670103092783
5302_100_tips_250,Cherry,PF2_direct,nRF,0.2371134020618556
153_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
2657_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
2440_90_tips_250,Cherry,PF2_direct,nRF,0.160919540229885
3056_80_tips_250,Cherry,PF2_direct,nRF,0.1428571428571428
627_90_tips_250,Cherry,PF2_direct,nRF,0.160919540229885
1988_100_tips_250,Cherry,PF2_direct,nRF,0.2783505154639175
5604_80_tips_250,Cherry,PF2_direct,nRF,0.0259740259740259
721_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
95_100_tips_250,Cherry,PF2_direct,nRF,0.1134020618556701
2301_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
3355_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
1568_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
4458_100_tips_250,Cherry,PF2_direct,nRF,0.1443298969072164
5101_80_tips_250,Cherry,PF2_direct,nRF,0.0129870129870129
1442_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
758_80_tips_250,Cherry,PF2_direct,nRF,0.1168831168831168
1896_80_tips_250,Cherry,PF2_direct,nRF,0.0129870129870129
185_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
571_100_tips_250,Cherry,PF2_direct,nRF,0.1855670103092783
687_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
1243_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
984_90_tips_250,Cherry,PF2_direct,nRF,0.2988505747126437
2819_90_tips_250,Cherry,PF2_direct,nRF,0.0114942528735632
1063_80_tips_250,Cherry,PF2_direct,nRF,0.1428571428571428
1881_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
5442_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
1495_100_tips_250,Cherry,PF2_direct,nRF,0.1752577319587628
3160_90_tips_250,Cherry,PF2_direct,nRF,0.1149425287356321
4483_100_tips_250,Cherry,PF2_direct,nRF,0.1237113402061855
5941_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
1263_80_tips_250,Cherry,PF2_direct,nRF,0.0129870129870129
1584_100_tips_250,Cherry,PF2_direct,nRF,0.1546391752577319
296_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
3728_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
2665_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
786_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
1572_100_tips_250,Cherry,PF2_direct,nRF,0.1855670103092783
4084_80_tips_250,Cherry,PF2_direct,nRF,0.1948051948051948
2450_100_tips_250,Cherry,PF2_direct,nRF,0.1030927835051546
3638_100_tips_250,Cherry,PF2_direct,nRF,0.2061855670103092
