metric	q25	median	q75
total_tree_length	4.5894920682	8.5016954599	17.43449636115
mean_branch_length	0.34709012509348625	0.46032956802	0.6180475765185713
median_root_to_leaf_depth	0.91879414475	1.5442594758	2.3611130942
