msa_id	split	fitted_model	best_model_base	has_G	has_I	has_F	gamma_alpha	p_invariant	log_likelihood	aic	bic	total_tree_length	mean_branch_length	median_branch_length	max_root_to_leaf_depth	median_root_to_leaf_depth	n_leaves	n_branches	gap_ratio	informative_site_ratio	num_sequences	alignment_length
2371	train	LG+G4	LG	True	False	False	1.046		-4782.2034	9608.4069	9683.7558	12.109157222	0.5766265343809523	0.5183899082	3.1184514811	1.4792103364	12	21	0.142804698972	0.674008810573	12	227
2373	train	LG+G4	LG	True	False	False	0.8795		-4093.6445	8215.2891	8265.5629	6.6781794684	0.5137061129538462	0.6005978644	1.6254704784	1.0390753009	8	13	0.0279850746269	0.410447761194	8	268
2374	train	LG+G4	LG	True	False	False	1.6464		-5430.9548	10877.9096	10912.2865	6.2127576095	0.8875368013571429	0.6928494281	3.1848610644999997	1.7143277382	5	7	0.113812154696	0.254143646409	5	543
2375	train	LG+G4	LG	True	False	False	1.8788		-2588.909	5213.818	5268.0095	11.329705753399999	0.6664532796117646	0.5078922745	4.393578510999999	3.3762147163	10	17	0.22	0.486666666667	10	150
2376	train	LG	LG	False	False	False			-2411.6557	4841.3115	4870.0481	7.437830605	0.8264256227777778	0.5192753928	4.5614344273	1.1159153969500002	6	9	0.0833333333333	0.3	6	180
2378	train	LG+F+G4	LG	True	False	True	0.9316		-5331.3967	10724.7933	10850.6261	9.726653799100001	0.8842412544636364	0.308998054	5.873096197700001	0.8198392631	7	11	0.0777703604806	0.294392523364	7	428
2380	train	LG+G4	LG	True	False	False	0.73		-3353.0819	6754.1637	6836.2566	17.0325574162	0.7405459746173912	0.4088803689	6.123688704599999	2.0666323149999997	13	23	0.335602450647	0.526548672566	13	226
2381	train	LG+G4	LG	True	False	False	0.9358		-24479.1456	49354.2912	50022.5963	80.3937296325	0.40808999813451774	0.292911909	4.2952400591	2.1715019232	100	197	0.299444444444	0.74537037037	100	216
2382	train	LG+G4	LG	True	False	False	1.1029		-7991.7085	16195.4169	16500.1878	31.2038387384	0.2971794165561905	0.1785712438	5.9037296228	1.85540924725	54	105	0.227735368957	0.801526717557	54	131
2383	train	LG+G4	LG	True	False	False	0.769		-564.994	1141.988	1155.8124	2.410763734	0.48215274680000003	0.4847004336	0.9340389509	0.5965868128	4	5	0.00675675675676	0.0405405405405	4	74
2385	train	LG+G4	LG	True	False	False	0.6468		-2000.9976	4021.9953	4055.3225	3.0042017968	0.3338001996444444	0.2582260116	1.6982814304999998	0.50790132635	6	9	0.00805152979066	0.183574879227	6	207
2386	train	LG+G4	LG	True	False	False	0.6838		-4742.2401	9564.4802	9703.8721	28.7956754529	0.7383506526384616	0.5122625841	6.4650626884	4.316549706	21	39	0.469472436277	0.427385892116	21	241
