dataset,method,n_alignments,mean_nRF,median_nRF,mean_wRF,median_wRF,mean_KF,median_KF
60k,fasttree,26,0.005187681734073465,0.0,0.7603859772703654,0.22950569199999996,0.2484724066899077,0.06741959266459555
60k,window-rate+fastrfs,30,0.02266993717695622,0.0103092783505154,0.1840088243308833,0.14199077775000007,0.044502826437905686,0.027347677464688698
60k,window-rate+weighted,30,0.02266993717695622,0.0103092783505154,0.1840040048242166,0.14199077775000005,0.04450195494791978,0.027347677464688698
60k,softbioblock+fastrfs,30,0.016162576263475552,0.0051546391752577,0.4540615301516833,0.1246839885,0.1397300207073612,0.02449990833909055
60k,softbioblock+weighted,30,0.016162576263475552,0.0051546391752577,0.45405490308168317,0.1246839885,0.13972881476578708,0.02449990833909055
60k,window-site+fastrfs,30,0.020158614827813084,0.0103092783505154,0.17505623909911663,0.1288963052,0.03873588364190095,0.02449990833909055
60k,window-site+weighted,30,0.020158614827813084,0.0103092783505154,0.1750637989657833,0.1288963052,0.03873689349275822,0.02449990833909055
