id,dataset,method,metric,value
rep_013,60k,window-site+weighted,nRF,0.0212765957446808
rep_019,60k,window-site+weighted,nRF,0.0
rep_017,60k,window-site+weighted,nRF,0.0416666666666666
rep_014,60k,window-site+weighted,nRF,0.0138888888888888
rep_007,60k,window-site+weighted,nRF,0.0
rep_028,60k,window-site+weighted,nRF,0.0425531914893617
rep_012,60k,window-site+weighted,nRF,0.0
rep_016,60k,window-site+weighted,nRF,0.0
rep_000,60k,window-site+weighted,nRF,0.0206185567010309
rep_021,60k,window-site+weighted,nRF,0.0103092783505154
rep_002,60k,window-site+weighted,nRF,0.0
rep_020,60k,window-site+weighted,nRF,0.0
rep_011,60k,window-site+weighted,nRF,0.0277777777777777
rep_008,60k,window-site+weighted,nRF,0.0
rep_018,60k,window-site+weighted,nRF,0.0309278350515463
rep_015,60k,window-site+weighted,nRF,0.0
rep_026,60k,window-site+weighted,nRF,0.0
rep_027,60k,window-site+weighted,nRF,0.0206185567010309
rep_010,60k,window-site+weighted,nRF,0.0
rep_023,60k,window-site+weighted,nRF,0.0
rep_005,60k,window-site+weighted,nRF,0.0138888888888888
rep_022,60k,window-site+weighted,nRF,0.0
rep_001,60k,window-site+weighted,nRF,0.0
rep_006,60k,window-site+weighted,nRF,0.28125
rep_003,60k,window-site+weighted,nRF,0.0103092783505154
rep_024,60k,window-site+weighted,nRF,0.0103092783505154
rep_004,60k,window-site+weighted,nRF,0.0
rep_025,60k,window-site+weighted,nRF,0.0212765957446808
rep_029,60k,window-site+weighted,nRF,0.0277777777777777
rep_009,60k,window-site+weighted,nRF,0.0103092783505154
rep_019,60k,window-site+fastrfs,nRF,0.0
rep_017,60k,window-site+fastrfs,nRF,0.0416666666666666
rep_011,60k,window-site+fastrfs,nRF,0.0277777777777777
rep_014,60k,window-site+fastrfs,nRF,0.0138888888888888
rep_007,60k,window-site+fastrfs,nRF,0.0
rep_028,60k,window-site+fastrfs,nRF,0.0425531914893617
rep_013,60k,window-site+fastrfs,nRF,0.0212765957446808
rep_012,60k,window-site+fastrfs,nRF,0.0
rep_027,60k,window-site+fastrfs,nRF,0.0206185567010309
rep_021,60k,window-site+fastrfs,nRF,0.0103092783505154
rep_002,60k,window-site+fastrfs,nRF,0.0
rep_000,60k,window-site+fastrfs,nRF,0.0206185567010309
rep_006,60k,window-site+fastrfs,nRF,0.28125
rep_016,60k,window-site+fastrfs,nRF,0.0
rep_029,60k,window-site+fastrfs,nRF,0.0277777777777777
rep_015,60k,window-site+fastrfs,nRF,0.0
rep_020,60k,window-site+fastrfs,nRF,0.0
rep_018,60k,window-site+fastrfs,nRF,0.0309278350515463
rep_005,60k,window-site+fastrfs,nRF,0.0138888888888888
rep_010,60k,window-site+fastrfs,nRF,0.0
rep_008,60k,window-site+fastrfs,nRF,0.0
rep_022,60k,window-site+fastrfs,nRF,0.0
rep_001,60k,window-site+fastrfs,nRF,0.0
rep_023,60k,window-site+fastrfs,nRF,0.0
rep_026,60k,window-site+fastrfs,nRF,0.0
rep_004,60k,window-site+fastrfs,nRF,0.0
rep_025,60k,window-site+fastrfs,nRF,0.0212765957446808
rep_024,60k,window-site+fastrfs,nRF,0.0103092783505154
rep_009,60k,window-site+fastrfs,nRF,0.0103092783505154
rep_003,60k,window-site+fastrfs,nRF,0.0103092783505154
rep_013,60k,window-rate+weighted,nRF,0.0
rep_019,60k,window-rate+weighted,nRF,0.0
rep_017,60k,window-rate+weighted,nRF,0.0555555555555555
rep_014,60k,window-rate+weighted,nRF,0.0138888888888888
rep_007,60k,window-rate+weighted,nRF,0.0
rep_028,60k,window-rate+weighted,nRF,0.0851063829787234
rep_016,60k,window-rate+weighted,nRF,0.0
rep_021,60k,window-rate+weighted,nRF,0.0103092783505154
rep_012,60k,window-rate+weighted,nRF,0.0
rep_000,60k,window-rate+weighted,nRF,0.0206185567010309
rep_020,60k,window-rate+weighted,nRF,0.0
rep_008,60k,window-rate+weighted,nRF,0.0769230769230769
rep_002,60k,window-rate+weighted,nRF,0.0138888888888888
rep_011,60k,window-rate+weighted,nRF,0.0138888888888888
rep_018,60k,window-rate+weighted,nRF,0.0309278350515463
rep_026,60k,window-rate+weighted,nRF,0.0
rep_010,60k,window-rate+weighted,nRF,0.0
rep_023,60k,window-rate+weighted,nRF,0.0138888888888888
rep_015,60k,window-rate+weighted,nRF,0.0
rep_027,60k,window-rate+weighted,nRF,0.0103092783505154
rep_003,60k,window-rate+weighted,nRF,0.0
