label	split	msa_id	recon_mse
synthetic_fixed	synthetic	syn_000099	0.00684403534979
synthetic_fixed	synthetic	syn_000100	0.00490201776847
synthetic_fixed	synthetic	syn_000101	0.00814799778163
synthetic_fixed	synthetic	syn_000102	0.0088715357706
synthetic_fixed	synthetic	syn_000103	0.00804200582206
synthetic_fixed	synthetic	syn_000104	0.00989742204547
synthetic_fixed	synthetic	syn_000105	0.00515508372337
synthetic_fixed	synthetic	syn_000106	0.0071774981916
synthetic_fixed	synthetic	syn_000107	0.00402319896966
synthetic_fixed	synthetic	syn_000108	0.00498258601874
synthetic_fixed	synthetic	syn_000109	0.00627457629889
synthetic_fixed	synthetic	syn_000110	0.00772706512362
synthetic_fixed	synthetic	syn_000111	0.00621110806242
synthetic_fixed	synthetic	syn_000112	0.00579802365974
synthetic_fixed	synthetic	syn_000113	0.00392626784742
synthetic_fixed	synthetic	syn_000114	0.00538080371916
synthetic_fixed	synthetic	syn_000115	0.00585560500622
synthetic_fixed	synthetic	syn_000116	0.00777584128082
synthetic_fixed	synthetic	syn_000117	0.00781183922663
synthetic_fixed	synthetic	syn_000118	0.00389780988917
synthetic_fixed	synthetic	syn_000119	0.00312139443122
synthetic_fixed	synthetic	syn_000120	0.00564676243812
synthetic_fixed	synthetic	syn_000121	0.00530375447124
synthetic_fixed	synthetic	syn_000122	0.00605444516987
synthetic_fixed	synthetic	syn_000123	0.00648057460785
synthetic_fixed	synthetic	syn_000124	0.00387121830136
synthetic_fixed	synthetic	syn_000125	0.00916521344334
synthetic_fixed	synthetic	syn_000126	0.00464835157618
synthetic_fixed	synthetic	syn_000127	0.00509242760018
synthetic_fixed	synthetic	syn_000128	0.00590322725475
synthetic_fixed	synthetic	syn_000129	0.00814221054316
synthetic_fixed	synthetic	syn_000130	0.00321690039709
synthetic_fixed	synthetic	syn_000131	0.00715837720782
synthetic_fixed	synthetic	syn_000132	0.00910497736186
synthetic_fixed	synthetic	syn_000133	0.00577707774937
synthetic_fixed	synthetic	syn_000134	0.00495501048863
synthetic_fixed	synthetic	syn_000135	0.00532428734004
synthetic_fixed	synthetic	syn_000136	0.00464674737304
synthetic_fixed	synthetic	syn_000137	0.00520777329803
synthetic_fixed	synthetic	syn_000138	0.00461036898196
