dataset,method,n_alignments,mean_nRF,median_nRF,mean_wRF,median_wRF,mean_KF,median_KF
30k,fasttree,30,0.007147746013177003,0.0,0.5844502054596499,0.18163251499999988,0.20048336635169106,0.03518825193751715
30k,window-rate+fastrfs,30,0.018463072636136873,0.0051546391752577,0.19474056560831657,0.1545709724499999,0.04152687968388159,0.02959567106239215
30k,window-rate+weighted,30,0.01846307263613687,0.0051546391752577,0.19473555869164988,0.15457097244999995,0.04152585170074638,0.02959567106239215
30k,softbioblock+fastrfs,30,0.012241252548885768,0.0051546391752577,0.1872551036357832,0.1543588981999999,0.039230961060790305,0.02959567106239215
30k,softbioblock+weighted,30,0.012241252548885768,0.0051546391752577,0.18724353422911658,0.1543588981999999,0.03922915473437203,0.02959567106239215
30k,window-site+fastrfs,30,0.023296003834499087,0.012099083619702099,0.4740425598383166,0.1542452479499999,0.14104604869524096,0.02959567106239215
30k,window-site+weighted,30,0.023296003834499087,0.012099083619702099,0.47401808205498314,0.15424524794999994,0.1410420027150033,0.02958158662664785
