label,source_run,id,n_tips,length,rf,norm_rf,weighted_rf,kf_score,MAE,MRE
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1899_40_tips_250,40,250,10.000000,0.135135,0.568987,0.160011,0.084348,0.146311
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,18_40_tips_250,40,250,12.000000,0.162162,3.245682,0.739184,0.274139,0.086280
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,190_40_tips_250,40,250,10.000000,0.135135,0.566742,0.118266,0.041050,0.068105
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1912_40_tips_250,40,250,22.000000,0.297297,1.747262,0.426534,0.198060,0.148339
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1914_40_tips_250,40,250,4.000000,0.054054,1.445029,0.351505,0.097448,0.063225
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1916_40_tips_250,40,250,10.000000,0.135135,3.854500,0.892087,0.296854,0.062682
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1919_40_tips_250,40,250,12.000000,0.162162,1.435665,0.328015,0.099961,0.057068
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1921_40_tips_250,40,250,12.000000,0.162162,2.297819,0.888943,0.315153,0.143638
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1931_40_tips_250,40,250,6.000000,0.081081,1.133303,0.240955,0.158013,0.132965
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1932_40_tips_250,40,250,10.000000,0.135135,5.323138,1.286590,0.381074,0.091388
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1935_40_tips_250,40,250,8.000000,0.108108,2.421959,0.608811,0.278276,0.116919
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1939_40_tips_250,40,250,2.000000,0.027027,7.962160,2.578555,1.011849,0.136500
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1941_40_tips_250,40,250,2.000000,0.027027,1.105025,0.256288,0.096017,0.080191
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1942_40_tips_250,40,250,8.000000,0.108108,1.026062,0.259281,0.117134,0.129690
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1944_40_tips_250,40,250,6.000000,0.081081,1.556875,0.351291,0.105785,0.062527
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1951_40_tips_250,40,250,6.000000,0.081081,1.536601,0.420665,0.113577,0.101838
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1954_40_tips_250,40,250,6.000000,0.081081,5.001506,1.169901,0.313612,0.061966
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1986_40_tips_250,40,250,12.000000,0.162162,3.874818,1.093369,0.226142,0.074278
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1987_40_tips_250,40,250,6.000000,0.081081,0.787578,0.159899,0.063670,0.096335
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1999_40_tips_250,40,250,10.000000,0.135135,1.193039,0.315102,0.124259,0.114428
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,1_40_tips_250,40,250,6.000000,0.081081,1.040044,0.253286,0.113882,0.097621
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2005_40_tips_250,40,250,10.000000,0.135135,3.493421,0.780036,0.332430,0.085868
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2009_40_tips_250,40,250,16.000000,0.216216,0.879998,0.170980,0.079724,0.084056
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,200_40_tips_250,40,250,14.000000,0.189189,2.472803,0.540740,0.179037,0.079799
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2017_40_tips_250,40,250,10.000000,0.135135,3.837645,0.908607,0.225492,0.073641
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2020_40_tips_250,40,250,10.000000,0.135135,0.954893,0.209900,0.087032,0.069289
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2025_40_tips_250,40,250,8.000000,0.108108,0.494671,0.099611,0.031367,0.091291
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2026_40_tips_250,40,250,8.000000,0.108108,1.760985,0.433163,0.151237,0.080667
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2030_40_tips_250,40,250,2.000000,0.027027,1.183538,0.319805,0.102368,0.073564
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2038_40_tips_250,40,250,2.000000,0.027027,1.553812,0.466103,0.070514,0.059843
