id,dataset,method,nRF,wRF,KF
3550,PANDIT,PF2_direct,0.1551724137931034,9.805627561107784,2.754493313044487
1409,PANDIT,PF2_direct,0.2625,12.119792626217158,1.8895427705972432
705,PANDIT,PF2_direct,0.1568627450980392,20.094819155112383,4.140841049762214
523,PANDIT,PF2_direct,0.3695652173913043,10.051469100359508,1.5450530837743366
7566,PANDIT,PF2_direct,0.2211538461538461,8.815953728579538,1.631333823594643
2637,PANDIT,PF2_direct,0.1348314606741573,11.662848619127942,1.804205069785689
2697,PANDIT,PF2_direct,0.0,10.231804654934876,2.308305728342833
7552,PANDIT,PF2_direct,0.05,7.919320061854957,1.9480992849786047
381,PANDIT,PF2_direct,0.0714285714285714,2.867231052364945,0.8619556924344858
3511,PANDIT,PF2_direct,0.1428571428571428,10.858898858982467,1.9782404391735524
1728,PANDIT,PF2_direct,0.4774774774774775,35.21219384023917,7.325844907977627
4,PANDIT,PF2_direct,0.2741935483870967,17.30886217052354,5.575142791347234
1493,PANDIT,PF2_direct,0.3294117647058823,31.79313250497152,5.666152584276893
81,PANDIT,PF2_direct,0.0869565217391304,10.409121126167776,3.747331471702783
59,PANDIT,PF2_direct,0.0208333333333333,5.074097449145793,0.9865789190285038
1666,PANDIT,PF2_direct,0.0446428571428571,9.635947995554483,1.791434037440347
567,PANDIT,PF2_direct,0.3785714285714285,36.75759617196268,8.27710789864893
983,PANDIT,PF2_direct,0.1034482758620689,15.922037857569393,2.4911433372289684
229,PANDIT,PF2_direct,0.5279187817258884,83.06120326424923,10.879521633713823
1045,PANDIT,PF2_direct,0.1240310077519379,27.77954068593288,4.833831837436255
5,PANDIT,PF2_direct,0.4025974025974026,37.30426775559104,7.283598077967999
1124,PANDIT,PF2_direct,0.1076923076923077,14.022588183201124,3.725100635690773
2253,PANDIT,PF2_direct,0.2280701754385964,14.118874219746246,2.600259605355941
242,PANDIT,PF2_direct,0.109375,8.817804409194348,2.0361803602618003
1426,PANDIT,PF2_direct,0.1492537313432835,10.754656686581724,1.7914131556220434
252,PANDIT,PF2_direct,0.1978021978021978,37.62831272032005,7.958454534624429
2592,PANDIT,PF2_direct,0.1886792452830188,20.68802587674461,2.969984860632066
700,PANDIT,PF2_direct,0.0689655172413793,6.663657406328098,1.3028400390888706
318,PANDIT,PF2_direct,0.198019801980198,29.791309465611807,4.410086674879305
97,PANDIT,PF2_direct,0.0493827160493827,8.311329302112338,1.4971638868541788
1525,PANDIT,PF2_direct,0.1732283464566929,15.372838158097416,1.899060785340972
4320,PANDIT,PF2_direct,0.2169811320754717,16.39891989541028,2.905924692886928
640,PANDIT,PF2_direct,0.217391304347826,16.623806157345587,2.6512752209126504
2664,PANDIT,PF2_direct,0.4022988505747126,18.235534340000747,2.895271587835216
7276,PANDIT,PF2_direct,0.1379310344827586,12.785766172743651,2.91287507518567
6583,PANDIT,PF2_direct,0.2244897959183673,23.901444519669177,5.110678076504479
1802,PANDIT,PF2_direct,0.3529411764705882,46.97192251947414,9.638531011902089
1203,PANDIT,PF2_direct,0.0285714285714285,8.745342510910302,1.639277244468617
1657,PANDIT,PF2_direct,0.293103448275862,62.129795752123286,9.907674885823896
1796,PANDIT,PF2_direct,0.2191780821917808,14.48286839664874,3.035709617622507
297,PANDIT,PF2_direct,0.457516339869281,58.677704987475934,11.414499444857531
500,PANDIT,PF2_direct,0.6481481481481481,423.0147534815942,44.15450440130005
1026,PANDIT,PF2_direct,0.0408163265306122,3.5854774580813045,0.6837684600998446
133,PANDIT,PF2_direct,0.0547945205479452,22.464465877616984,6.636070022715141
147,PANDIT,PF2_direct,0.03125,7.959844874192129,1.7892209035026034
7145,PANDIT,PF2_direct,0.0961538461538461,9.159148650025308,2.0876777564198785
893,PANDIT,PF2_direct,0.0983606557377049,12.385897507942202,3.2656928502400544
2236,PANDIT,PF2_direct,0.2608695652173913,12.913149267543806,2.3253571573952017
2582,PANDIT,PF2_direct,0.3539823008849557,34.89019064349803,6.82195429062141
2765,PANDIT,PF2_direct,0.237410071942446,23.112718686897708,3.684718674146759
865,PANDIT,PF2_direct,0.25,25.069574907258843,6.996986342900171
881,PANDIT,PF2_direct,0.1343283582089552,13.050887233245248,2.2778239189064067
461,PANDIT,PF2_direct,0.0769230769230769,6.683121811018737,0.8523997041915826
7269,PANDIT,PF2_direct,0.0545454545454545,4.210426593692333,0.9570046748665436
5070,PANDIT,PF2_direct,0.078125,5.604614739093571,1.049054929315563
2541,PANDIT,PF2_direct,0.2297297297297297,7.890482431038797,1.748416978512221
1380,PANDIT,PF2_direct,0.5238095238095238,28.68687347896767,4.323808219727511
1355,PANDIT,PF2_direct,0.0232558139534883,4.454626186082362,0.937648601894646
7272,PANDIT,PF2_direct,0.219047619047619,24.366381564403063,4.334459323276861
1167,PANDIT,PF2_direct,0.2068965517241379,12.336444960555475,2.2342293374666355
7563,PANDIT,PF2_direct,0.1518987341772152,12.3733674998132,1.8808689676847532
3241,PANDIT,PF2_direct,0.4761904761904761,41.63145640048029,8.4384303613907
7315,PANDIT,PF2_direct,0.3636363636363636,33.71209428950041,7.299856466712041
670,PANDIT,PF2_direct,0.1047619047619047,18.73560052058188,3.099402758839618
7318,PANDIT,PF2_direct,0.0099009900990099,8.498493939617601,1.4069894216055383
2963,PANDIT,PF2_direct,0.0277777777777777,6.322973641591855,1.2149043033259057
540,PANDIT,PF2_direct,0.4130434782608695,17.782027753103012,4.749210059771806
769,PANDIT,PF2_direct,0.35,31.03739151067011,6.36473171107597
73,PANDIT,PF2_direct,0.203125,12.250302769579358,2.039095486253399
1116,PANDIT,PF2_direct,0.0491803278688524,9.004735367912621,1.8873822294446965
1156,PANDIT,PF2_direct,0.1176470588235294,6.189814830091895,1.6467514907007053
