dataset,method,n_alignments,mean_nRF,median_nRF,mean_wRF,median_wRF,mean_KF,median_KF
PANDIT,PF2_direct,340,0.20933500394475116,0.1851851851851851,25.36110126757373,15.874404428109198,4.833198641582049,2.983432103673394
PANDIT,softbioblock+fastrfs,340,0.21274831242457884,0.1875,18.922295698079413,10.4306261247,3.1294888774004543,1.7304915078134124
PANDIT,softbioblock+weighted,340,0.21274831242457884,0.1875,18.922322139043235,10.429203920800003,3.1294936002969522,1.7304915078134127
PANDIT,window-rate+fastrfs,340,0.2127796228022998,0.1875,18.816159654986468,10.429019178949998,3.136353654512027,1.7304915078134129
PANDIT,window-rate+weighted,340,0.2127796228022998,0.1875,18.81618510542559,10.42901917895,3.136358809459023,1.7304915077890541
PANDIT,window-site+fastrfs,340,0.21262003821374742,0.1875,18.79256915565706,10.430539350200005,3.13461818983536,1.7304915078134129
PANDIT,window-site+weighted,340,0.21262003821374742,0.1875,18.792553423806766,10.429452766950003,3.1346142453643946,1.7304915078134129
