n_seq,100,250,500,1000,2000,3000,4000,5000,10000
10,0.533203,0.544922,0.597656,0.669922,0.833984,0.990234,1.134766,1.300781,2.068359
50,0.925781,1.564453,2.730469,4.970703,9.416016,13.871094,18.316406,22.750000,44.984375
100,2.312500,5.013672,9.480469,18.445312,36.337891,54.240234,72.142578,,
150,4.574219,10.646484,20.781250,41.001953,,,,,
200,7.730469,18.548828,36.542969,72.568359,,,,,
250,11.789062,28.699219,56.859375,,,,,,
300,16.802734,41.128906,,,,,,,
350,22.695312,55.820312,,,,,,,
400,29.505859,72.792969,,,,,,,
450,37.230469,,,,,,,,
500,45.861328,,,,,,,,
550,55.412109,,,,,,,,
600,65.900391,,,,,,,,
