id,dataset,method,nRF,wRF,KF
rep_013,100k,window-site+weighted,0.0212765957446808,0.0956749023999999,0.0241646641019395
rep_019,100k,window-site+weighted,0.0,0.0137347123999999,0.0030237631054557
rep_017,100k,window-site+weighted,0.0555555555555555,0.0303194397299999,0.006176333405291
rep_014,100k,window-site+weighted,0.0138888888888888,0.0393595131999999,0.0084867434827819
rep_007,100k,window-site+weighted,0.0,0.0678342535999999,0.0193923952860073
rep_012,100k,window-site+weighted,0.0,0.3006924258999998,0.0625120421791862
rep_028,100k,window-site+weighted,0.0425531914893617,0.0300838633,0.0077726481277098
rep_016,100k,window-site+weighted,0.0,0.3953506937999989,0.1324212428759422
rep_000,100k,window-site+weighted,0.0206185567010309,0.2712471138999998,0.0538559805218795
rep_021,100k,window-site+weighted,0.0103092783505154,0.0545459628,0.0091011964390469
rep_002,100k,window-site+weighted,0.0,0.02687073112,0.0050751648142941
rep_020,100k,window-site+weighted,0.0,0.1516825564999998,0.0284175028274284
rep_011,100k,window-site+weighted,0.0138888888888888,0.5145967357,0.1066847404272791
rep_008,100k,window-site+weighted,0.0,0.0304556511,0.0055220051395083
rep_015,100k,window-site+weighted,0.0,0.1934457426000002,0.0322705055496154
rep_018,100k,window-site+weighted,0.0309278350515463,0.0527270752999999,0.0084370488841832
rep_026,100k,window-site+weighted,0.0,0.1483095568999998,0.0411225084099353
rep_005,100k,window-site+weighted,0.0138888888888888,0.1798508863000001,0.0382335669785117
rep_027,100k,window-site+weighted,0.0103092783505154,0.1266639771,0.0189451676786458
rep_023,100k,window-site+weighted,0.0,0.0579469997000001,0.0112309038414778
rep_022,100k,window-site+weighted,0.0,0.1205667413,0.0284511376590436
rep_010,100k,window-site+weighted,0.0,0.0275750377,0.0056108298500607
rep_001,100k,window-site+weighted,0.0,0.0928534051000002,0.0235782365274251
rep_003,100k,window-site+weighted,0.0103092783505154,0.2171196901,0.0458990073403862
rep_006,100k,window-site+weighted,0.2886597938144329,0.0094192573895,0.0013261334605497
rep_004,100k,window-site+weighted,0.0,0.2230717443999993,0.0540126120393743
rep_009,100k,window-site+weighted,0.0103092783505154,0.1556224996999998,0.0261239882201673
rep_024,100k,window-site+weighted,0.0,0.12969790505,0.0238581072624429
rep_025,100k,window-site+weighted,0.0212765957446808,0.1487433786,0.0401565860175149
rep_029,100k,window-site+weighted,0.0416666666666666,0.1815457076000001,0.0331433954510418
rep_019,100k,window-site+fastrfs,0.0,0.0137347123999999,0.0030237631054557
rep_014,100k,window-site+fastrfs,0.0138888888888888,0.0393595131999999,0.0084867434827819
rep_017,100k,window-site+fastrfs,0.0555555555555555,0.0303194397299999,0.006176333405291
rep_011,100k,window-site+fastrfs,0.0138888888888888,0.5145967357,0.1066847404272791
rep_007,100k,window-site+fastrfs,0.0,0.0681673595,0.0194987553059343
rep_012,100k,window-site+fastrfs,0.0,0.3006924258999997,0.0625120421791862
rep_028,100k,window-site+fastrfs,0.0425531914893617,0.0300838633,0.0077726481277098
rep_021,100k,window-site+fastrfs,0.0103092783505154,0.0545459628,0.0091011964390469
rep_013,100k,window-site+fastrfs,0.0212765957446808,0.0956749023999999,0.0241646641019395
rep_002,100k,window-site+fastrfs,0.0,0.02687073112,0.0050751648142941
rep_027,100k,window-site+fastrfs,0.0103092783505154,0.1266639770999999,0.0189451676786458
rep_018,100k,window-site+fastrfs,0.0309278350515463,0.0527270752999999,0.0084370488841832
