dataset,method,n_alignments,mean_nRF,median_nRF,mean_wRF,median_wRF,mean_KF,median_KF
100k,window-rate+fastrfs,30,0.019030301276270756,0.0103092783505154,0.14090606940554992,0.12825562377500005,0.03350612243425335,0.0261905351814622
100k,window-rate+weighted,30,0.019030301276270752,0.0103092783505154,0.14091306665221656,0.12817619877500003,0.03350634533666489,0.0261905351814622
100k,softbioblock+fastrfs,30,0.012950472407041802,0.0,0.13579779412378323,0.12510683887499996,0.030155686799941055,0.0240071969898348
100k,softbioblock+weighted,30,0.012950472407041804,0.0,0.13578838954711656,0.125132323175,0.03015242071210058,0.024011385682191203
100k,window-site+fastrfs,30,0.020181285694556118,0.0051546391752577,0.13627468948631657,0.12355575714999995,0.03017195332556245,0.02402171479212355
100k,window-site+weighted,30,0.020181285694556118,0.0051546391752577,0.13625360534298325,0.1236153592,0.03016687193013752,0.024011385682191203
